day,temp
21,6.5
21,6.555
21,6.207
21,6.471
21,6.452
21,6.442
21,6.465
21,6.444
21,6.411
21,6.34
21,6.313
21,6.194
21,6.138
21,6.258
21,6.458
21,6.481
21,6.517
21,6.413
21,6.497
21,6.534
21,6.663
21,6.36
21,6.571
21,6.425
21,6.426
21,6.387
21,6.248
21,6.141
21,6.134
21,6.039
21,6.257
21,5.678
21,5.916
21,5.772
21,5.718
21,5.615
21,5.517
21,5.527
21,5.685
21,5.882
21,6.175
21,6.615
21,7.084
21,7.56
21,8.15
21,8.71
21,9.25
21,9.88
21,10.47
21,10.61
21,11.26
21,11.69
21,12.08
21,12.38
21,12.65
21,12.72
21,13.25
21,13.84
21,14.46
21,14.45
21,14.51
21,15.18
21,15.45
21,15.6
21,15.37
21,15.35
21,15.17
21,15.08
21,15.14
21,14.67
21,15.21
21,15.67
21,15.78
21,16.11
21,16.26
21,16.47
21,16.75
21,16.6
21,16.29
21,16.08
21,15.76
21,15.57
21,15.34
21,15.23
21,14.96
21,14.76
21,14.49
21,14.23
21,13.98
21,13.73
21,13.56
21,13.35
21,13.15
21,13.03
21,12.84
21,12.58
21,12.42
21,12.35
21,12.42
21,12.12
21,11.88
21,11.93
21,11.7
21,11.43
21,11.29
21,10.97
21,10.84
21,10.58
21,10.12
21,10.03
21,9.75
21,9.66
21,9.39
21,9.24
21,9.27
21,9.17
21,8.91
21,8.89
21,8.66
21,8.63
21,8.65
21,8.21
21,8.08
21,7.395
21,7.486
21,7.508
21,7.437
21,7.439
21,7.502
21,7.295
21,7.197
21,7.367
21,7.468
21,7.446
21,7.554
21,7.787
21,7.853
21,8.18
21,8.21
21,8.5
21,8.77
21,8.69
21,8.81
21,8.91
22,9.0
22,8.99
22,8.93
22,8.92
22,8.65
22,8.64
22,8.93
22,8.91
22,9.05
22,9.6
22,9.76
22,10.01
22,9.98
22,9.95
22,10.04
22,9.77
22,9.27
22,9.25
22,8.92
22,8.59
22,8.35
22,8.08
22,7.819
22,7.728
22,7.586
22,7.366
22,7.004
22,6.809
22,6.337
22,6.566
22,7.074
22,6.774
22,7.682
22,7.39
22,7.901
22,8.31
22,8.25
22,8.88
22,8.79
22,9.43
22,9.86
22,10.26
22,10.84
22,11.51
22,12.07
22,12.86
22,13.42
22,14.05
22,14.67
22,15.38
22,15.72
22,15.96
22,16.66
22,17.37
22,17.75
22,17.74
22,18.05
22,18.24
22,18.66
22,18.65
22,19.02
22,19.37
22,19.83
22,20.16
22,20.2
22,19.75
22,19.43
22,19.04
22,18.5
22,17.52
22,16.6
22,16.52
22,16.83
22,17.18
22,17.2
22,16.75
22,16.79
22,16.92
22,16.8
22,16.58
22,16.43
22,15.7
22,15.61
22,15.33
22,15.02
22,14.79
22,14.89
22,14.64
22,14.41
22,14.07
22,13.77
22,13.5
22,13.39
22,13.38
22,13.18
22,12.8
